10-dealership	1920.0x1080.0	border=(0.0,0.0,0.0,0.0)	ppu=100.0	tex=10-dealership	pathID=4800
13-facility	1920.0x1080.0	border=(0.0,0.0,0.0,0.0)	ppu=100.0	tex=13-facility	pathID=4826
15-warehouse	1920.0x1080.0	border=(0.0,0.0,0.0,0.0)	ppu=100.0	tex=15-warehouse	pathID=4929
16-tacoticklers	1920.0x1080.0	border=(0.0,0.0,0.0,0.0)	ppu=100.0	tex=16-tacoticklers	pathID=5004
18-rvinterior	1920.0x1080.0	border=(0.0,0.0,0.0,0.0)	ppu=100.0	tex=18-rvinterior	pathID=4872
1-weed	1920.0x1080.0	border=(0.0,0.0,0.0,0.0)	ppu=100.0	tex=1-weed	pathID=5120
22-barnproduction	1920.0x1080.0	border=(0.0,0.0,0.0,0.0)	ppu=100.0	tex=22-barnproduction	pathID=4839
23-northtown	2048.0x1152.0	border=(0.0,0.0,0.0,0.0)	ppu=53.33334	tex=23-northtown	pathID=4950
2-Tier Wall Shelf_Icon	256.0x256.0	border=(0.0,0.0,0.0,0.0)	ppu=50.0	tex=2-Tier Wall Shelf_Icon	pathID=4979
3-city	1920.0x1080.0	border=(0.0,0.0,0.0,0.0)	ppu=100.0	tex=3-city	pathID=4757
4-driving	1920.0x1080.0	border=(0.0,0.0,0.0,0.0)	ppu=100.0	tex=4-driving	pathID=5008
7-motel	1920.0x1080.0	border=(0.0,0.0,0.0,0.0)	ppu=100.0	tex=7-motel	pathID=4766
AC Unit Icon	512.0x512.0	border=(0.0,0.0,0.0,0.0)	ppu=100.0	tex=AC Unit Icon	pathID=4925
Acid_Icon	256.0x256.0	border=(0.0,0.0,0.0,0.0)	ppu=50.0	tex=Acid_Icon	pathID=4881
Addiction band flipped	128.0x16.0	border=(0.0,0.0,0.0,0.0)	ppu=100.0	tex=Addiction band flipped	pathID=4740
Addy__Icon	256.0x256.0	border=(0.0,0.0,0.0,0.0)	ppu=50.0	tex=Addy__Icon	pathID=4749
AirPot_Built_Icon	256.0x256.0	border=(0.0,0.0,0.0,0.0)	ppu=50.0	tex=AirPot_Built_Icon	pathID=5134
Albert_Mugshot	512.0x512.0	border=(0.0,0.0,0.0,0.0)	ppu=100.0	tex=Albert_Mugshot	pathID=4735
Alison_Mugshot	512.0x512.0	border=(0.0,0.0,0.0,0.0)	ppu=100.0	tex=Alison_Mugshot	pathID=4886
Andy_Mugshot	512.0x512.0	border=(0.0,0.0,0.0,0.0)	ppu=100.0	tex=Andy_Mugshot	pathID=4981
Anna_Mugshot	512.0x512.0	border=(0.0,0.0,0.0,0.0)	ppu=100.0	tex=Anna_Mugshot	pathID=4937
AntiqueWallLamp_Built_Icon	256.0x256.0	border=(0.0,0.0,0.0,0.0)	ppu=50.0	tex=AntiqueWallLamp_Built_Icon	pathID=5070
appicon_contacts	512.0x512.0	border=(0.0,0.0,0.0,0.0)	ppu=100.0	tex=appicon_contacts	pathID=4995
appicon_dealers	512.0x512.0	border=(0.0,0.0,0.0,0.0)	ppu=100.0	tex=appicon_dealers	pathID=4871
appicon_deliveries	512.0x512.0	border=(0.0,0.0,0.0,0.0)	ppu=100.0	tex=appicon_deliveries	pathID=4896
appicon_journal	512.0x512.0	border=(0.0,0.0,0.0,0.0)	ppu=100.0	tex=appicon_journal	pathID=4863
appicon_map	512.0x512.0	border=(0.0,0.0,0.0,0.0)	ppu=100.0	tex=appicon_map	pathID=4973
appicon_messages	512.0x512.0	border=(0.0,0.0,0.0,0.0)	ppu=100.0	tex=appicon_messages	pathID=4851
appicon_productmanager	512.0x512.0	border=(0.0,0.0,0.0,0.0)	ppu=100.0	tex=appicon_productmanager	pathID=4868
